Symbol,Exchange,ScripCode,Company Name,ISIN Code,Segment,YF
KAKA,BSE,543939,Kaka Industries Ltd,INE0P3N01018,BSE SME,KAKA.BO
KALYANI,BSE,544023,Kalyani Cast-Tech Ltd,INE0N6U01018,BSE SME,KALYANI.BO
KANISHK,BSE,544693,Kanishk Aluminium India Ltd,INE163401016,BSE SME,KANISHK.BO
KARBON,BSE,544511,Karbonsteel Engineering Ltd,INE0V8A01016,BSE SME,KARBON.BO
KASTURI,BSE,544688,Kasturi Metal Composite Ltd,INE0T1301023,BSE SME,KASTURI.BO
KCSL,BSE,537784,Karnimata Cold Storage Ltd,INE576P01019,BSE SME,KCSL.BO
KDML,BSE,539788,Khemani Distributors & Marketing Ltd,INE030U01025,BSE SME,KDML.BO
KENRIK,BSE,544398,Kenrik Industries Ltd,INE0AOG01018,BSE SME,KENRIK.BO
KESAR,BSE,543542,Kesar India Ltd,INE0L1C01019,BSE SME,KESAR.BO
KGVL,BSE,544270,Khyati Global Ventures Ltd,INE0S9501014,BSE SME,KGVL.BO
KHAZANCHI,BSE,543953,Khazanchi Jewellers Ltd,INE0OWC01011,BSE SME,KHAZANCHI.BO
KIAASA,BSE,544711,Kiaasa Retail Ltd,INE1C3F01018,BSE SME,KIAASA.BO
KIZI,BSE,544221,Kizi Apparels Ltd,INE0RMR01013,BSE SME,KIZI.BO
KKSHL,BSE,544013,KK Shah Hospitals Ltd,INE0OH401016,BSE SME,KKSHL.BO
KKSILK,BSE,544624,K K Silk Mills Ltd,INE0EOJ01014,BSE SME,KKSILK.BO
KLASSROOM,BSE,544856,Fusion Klassroom Edutech Ltd,INE1LMA01010,BSE SME,KLASSROOM.BO
KMSMEDI,BSE,540468,KMS Medisurgi Ltd,INE870V01014,BSE SME,KMSMEDI.BO
KOURA,BSE,544139,Koura Fine Diamond Jewelry Ltd,INE0M8R01011,BSE SME,KOURA.BO
KPGEL,BSE,544150,KP Green Engineering Ltd,INE0QVH01025,BSE SME,KPGEL.BO
KRATIKAL,BSE,544811,Kratikal Tech Ltd,INE1L0M01019,BSE SME,KRATIKAL.BO
KRUPALU,BSE,544509,Krupalu Metals Ltd,INE0XZB01017,BSE SME,KRUPALU.BO
KVSCASTING,BSE,544554,KVS Castings Ltd,INE163701019,BSE SME,KVSCASTING.BO
KVTOYS,BSE,544641,K. V. Toys India Ltd,INE1IE301018,BSE SME,KVTOYS.BO
LABELKRAFT,BSE,543830,Labelkraft Technologies Ltd,INE0NLJ01011,BSE SME,LABELKRAFT.BO
LAXMIPATI,BSE,537669,Laxmipati Engineering Works Ltd,INE920P01019,BSE SME,LAXMIPATI.BO
LESL,BSE,544797,Leapfrog Engineering Services Ltd,INE0X6O01027,BSE SME,LESL.BO
LEX,BSE,541196,Lex Nimble Solutions Ltd,INE860Y01019,BSE SME,LEX.BO
LGLL,BSE,544341,Landmark Global Learning Ltd,INE12QA01010,BSE SME,LGLL.BO
LGT,BSE,544489,LGT Global Hospitality Ltd,INE191201016,BSE SME,LGT.BO
LIOTECH,BSE,544796,Liotech Industries Ltd,INE0TKX01011,BSE SME,LIOTECH.BO
LKMEHTA,BSE,544366,L.K.Mehta Polymers Ltd,INE0FFF01017,BSE SME,LKMEHTA.BO
LOGICA,BSE,543746,Logica Infoway Ltd,INE0BSU01018,BSE SME,LOGICA.BO
LOGICIEL,BSE,544625,Logiciel Solutions Ltd,INE1BA901016,BSE SME,LOGICIEL.BO
LTELEVATOR,BSE,544518,L. T. Elevator Ltd,INE0TJ801010,BSE SME,LTELEVATOR.BO
LUXURY,BSE,544635,Luxury Time Ltd,INE1CJB01013,BSE SME,LUXURY.BO
MACH,BSE,541973,Mac Hotels Ltd,INE004Z01011,BSE SME,MACH.BO
MACHLTD,BSE,544248,Mach Travel Solutions Ltd,INE0UYT01018,BSE SME,MACHLTD.BO
MAFIA,BSE,543613,Mafia Trends Ltd,INE0KQQ01011,BSE SME,MAFIA.BO
MAGENTA,BSE,544188,Magenta Lifecare Ltd,INE0QZ901011,BSE SME,MAGENTA.BO
MAHALIFE,BSE,544611,Mahamaya Lifesciences Ltd,INE0U9D01019,BSE SME,MAHALIFE.BO
MAHIP,BSE,542503,Mahip Industries Ltd,INE00CX01017,BSE SME,MAHIP.BO
